Provincia;Municipio;Localidad;Codigo_postal;Direccion;Margen;Longitud;Latitud;Precio_gasolina_95;Precio_gasoleo_A;Precio_gasoleo_B;Precio_bioetanol;Precio_nuevo_gasoleo_A;Precio_biodiesel;Porc_ester_metilico;Porc_bioalcohol;Precio_gasolina_98;Precio_gas_natural_comprimido;Precio_gas_natural_licuado;Precio_gases_licuados_del_petroleo;Rotulo;Tipo_venta;Rem.;Horario
MÁLAGA;FUENGIROLA;FUENGIROLA;29640;CARRETERA MA-409 KM. 6;N;-4,626750;36,556417;1,089;0,999;;;1,089;;;;;;;;GALP;P;OM;L-D: 24H
MÁLAGA;FUENGIROLA;FUENGIROLA;29640;AVENIDA ALCALDE CLEMENTE DIAZ RUIZ, 38;D;-4,626889;36,549000;1,069;0,977;;;;;;;;;;;BALLENOIL;P;dm;L-D: 24H
MÁLAGA;FUENGIROLA;FUENGIROLA;29640;AVENIDA CLEMENTE DIAZ RUIZ, SN;D;-4,626444;36,548361;1,149;1,044;;;1,134;;;;1,291;;;;BP EL TEJAR;P;OM;L-D: 24H
MÁLAGA;FUENGIROLA;FUENGIROLA;29640;AVENIDA GAVIOTAS LAS, 10;N;-4,611250;36,557639;1,149;1,044;;;1,134;;;;1,291;;;;BP FUENGIROLA - CENTRO;P;OM;L-D: 24H
MÁLAGA;FUENTE DE PIEDRA;FUENTE DE PIEDRA;29520;AUTOVIA A-92 KM. 132;D;-4,728278;37,137611;1,095;0,975;0,625;;1,005;;;;1,229;;;0,615;AGLA;P;dm;L-D: 07:00-22:00
MÁLAGA;GAUCÍN;GAUCIN;29480;CARRETERA A-405 KM. 0;D;-5,325472;36,520083;1,085;0,995;;;;;;;;;;;AGLA;P;dm;L-D: 07:00-22:00
MÁLAGA;GUARO;GUARO;29108;CARRETERA GUARO - COIN KM. 1;N;-4,830389;36,662778;1,149;1,045;0,740;;;;;;;;;;(SIN RÓTULO);P;dm;L-D: 07:00-22:00
MÁLAGA;HUMILLADERO;HUMILLADERO;29531;CARRETERA A-92 KM. 135;D;-4,693528;37,131944;1,129;1,019;0,550;;1,079;;;;;;;;CEPSA;P;dm;L-D: 24H
MÁLAGA;HUMILLADERO;HUMILLADERO;29531;CARRETERA A-92 KM. 138,2;I;-4,693306;37,133194;1,129;1,019;;;1,079;;;;;;;;CEPSA;P;dm;L-D: 24H
MÁLAGA;MÁLAGA;MALAGA;29015;AUTOVIA N-331 KM. 165;I;-4,424333;36,768611;1,169;1,045;;;1,125;;;;1,279;;;0,679;REPSOL;P;dm;L-D: 24H
MÁLAGA;MÁLAGA;MALAGA;29016;AVENIDA RONDA ESTE, SALIDA EL LIMONARN-340 KM 244,000, ;N;-4,394111;36,739889;1,169;1,049;;;1,139;;;;1,429;;;;GALP;P;OM;L-D: 24H
MÁLAGA;MÁLAGA;MALAGA;29016;CARRER CAMINO DE COIN, 90;D;-4,492861;36,659667;1,149;1,044;0,609;;1,149;;;;1,291;;;0,699;BP CHURRIANA;P;dm;L-D: 24H
MÁLAGA;MÁLAGA;MALAGA;29016;CARRETERA COMARCAL COIN-MALAGA KM. 89;D;-4,502306;36,660889;1,149;1,044;;;1,134;;;;1,291;;;;BP SAN ISIDRO;P;dm;L-V: 07:00-21:00, S-D: 08:00-16:00
MÁLAGA;MÁLAGA;MALAGA;29014;CR N-331 km 159;I;-4,442167;36,813333;1,119;1,055;;;1,115;;;;1,259;;;;REPSOL;P;OM;L-D: 06:00-22:00
MÁLAGA;MÁLAGA;MALAGA;29014;CL AVENIDA S.RAMON Y CAJAL, 1;N;-4,424528;36,738333;1,169;1,045;;;1,125;;;;1,279;;;;REPSOL;P;OM;L-D: 07:00-23:00
MÁLAGA;MÁLAGA;MALAGA;29014;AVENIDA JACINTO BENAVENTE, 163;D;-4,425500;36,753111;1,169;1,045;;;1,125;;;;1,279;;;;REPSOL;P;OM;L-D: 06:00-00:00
MÁLAGA;MÁLAGA;MALAGA;29014;AVENIDA SANTIAGO RAMON Y CAJAL, 102;N;-4,422611;36,743972;1,149;1,044;;;1,134;;;;1,291;;;;BP MALAGA - CIUDAD JARDIN;P;OM;L-D: 24H
MÁLAGA;MÁLAGA;MALAGA;29018;CALLE ALMERIA, 183;I;-4,343861;36,715306;1,155;1,039;;;1,109;;;;1,279;;;;REPSOL;P;OM;L-D: 07:00-15:00
MÁLAGA;MÁLAGA;MALAGA;29018;CALLE ALMERIA, 78;D;-4,344361;36,714944;1,155;1,039;;;1,109;;;;1,279;;;;REPSOL;P;OM;L-D: 14:00-22:00
MÁLAGA;MÁLAGA;MALAGA;29017;AVENIDA JUAN SEBASTIAN ELCANO, 2;N;-4,380389;36,721528;1,155;1,039;;;1,109;;;;;;;;REPSOL;P;dm;L-D: 24H
MÁLAGA;MÁLAGA;MALAGA;29004;CR N-340 km 231,9;D;-4,476500;36,673389;1,149;1,039;;;1,109;;;;;;;0,699;REPSOL;P;dm;L-D: 24H
MÁLAGA;MÁLAGA;MALAGA;29004;AVENIDA ISAAC PERAL, 39;N;-4,459583;36,692583;1,149;1,049;;;1,109;;;;1,274;;;;CEPSA;P;OM;L-D: 24H
MÁLAGA;MÁLAGA;MALAGA;29004;CALLE EDUARDO QUEIPO DE LLANO CABALLERO, 11;I;-4,470583;36,693333;1,039;0,929;;;;;;;;;;;DINERGIA;P;dm;L-V: 07:00-21:00, S: 09:00-19:00
